"population_size","recaptures"
150,74
1112,10
2075,9
3037,5
4000,6
150,68
1112,9
2075,5
3037,10
4000,2
150,81
1112,14
2075,13
3037,5
4000,3
150,69
1112,4
2075,5
3037,8
4000,8
150,71
1112,13
2075,17
3037,6
4000,4
374,28
374,31
1660,10
3171,11
2549,7
3171,8
3604,3
786,9
1410,9
3556,3
2549,3
1660,2
647,30
3569,6
2553,8
630,7
1592,8
3569,4
2533,5
644,22
1592,6
2508,4
3565,4
672,5
1605,11
2508,4
709,3
3569,4
1410,15
2075,3
1112,9
509,16
2705,7
1821,7
3649,5
1184,10
2254,5
547,23
2921,9
1717,5
3545,4
2465,2
1184,7
598,10
1821,3
3245,4
2705,5
3720,6
1143,14
2075,16
891,16
1382,16
886,1
374,27
1382,7
3796,3
886,19
2316,3
1825,8
333,40
3353,6
868,11
2307,11
1397,6
1825,10
2786,5
868,12
345,26
1829,8
1410,9
843,11
3796,3
2278,8
843,11
1829,2
1430,8
2793,7
567,9
3346,1
339,37
908,14
2254,4
1853,2
1565,5
644,8
1278,9
954,10
1941,5
2278,12
3819,5
598,24
1627,8
954,7
333,33
1292,8
1941,8
2798,7
621,20
978,11
2254,15
3336,3
1605,6
1921,6
1285,7
573,26
954,9
313,29
1592,7
1941,1
2283,5
1278,13
647,18
3825,4
954,6
2805,6
1910,5
1592,6
627,25
978,8
1285,6
321,32
2254,4
3327,9
1921,5
621,22
978,7
1592,13
1285,7
2815,6
2075,3
150,66
150,66
150,68
150,59
2921,3
4000,1
150,66
3545,10
3031,3
3545,6
150,65
2921,6
4000,3
2798,5
509,26
150,64
3565,3
509,27
2921,2
3565,4
509,24
2533,5
150,83
4000,3
3037,7
531,16
2465,7
3604,5
531,28
3037,4
150,66
2427,9
1382,9
531,12
3582,4
3037,6
1382,12
2325,7
513,18
4000,4
1331,12
3037,5
2382,5
150,60
547,26
3604,8
1331,5
567,22
2307,5
3031,5
1331,8
3649,4
150,64
573,24
2254,8
1382,8
3021,2
573,16
2075,6
4000,3
1331,13
3604,3
598,25
150,64
2705,8
1292,5
1970,7
609,18
3037,4
1292,6
2382,5
3604,7
1853,6
598,13
150,67
1225,2
3031,5
2382,7
598,18
1790,7
3604,4
1143,1
4000,2
2553,7
1853,15
573,20
3171,8
1184,5
150,78
573,17
3649,6
2508,1
1821,4
1184,14
3037,3
567,13
1225,8
1910,7
2508,2
150,65
3649,1
573,16
1184,8
3051,7
4000,3
1853,6
2465,6
567,1
1151,5
1821,4
3245,4
150,71
3626,2
1184,15
531,26
2508,8
1853,7
3051,5
1151,10
547,20
2465,5
1790,3
531,24
3682,4
150,65
1210,7
4000,7
3051,3
1853,5
2427,6
1184,10
567,41
3626,5
1821,12
1112,8
3099,5
150,56
547,42
2553,5
1821,4
1143,12
547,22
2465,5
3099,7
3649,5
1790,9
1143,7
547,21
150,70
4000,4
2465,4
1151,6
1821,7
3171,5
547,19
3649,3
2465,8
1143,13
1790,2
531,23
150,70
3099,7
1143,7
1825,8
2508,11
3682,1
547,15
1143,12
1825,5
3131,6
3825,6
321,39
3353,3
3825,4
886,15
333,22
886,23
3336,2
891,13
337,37
843,11
3825,5
3353,7
333,25
871,6
3825,6
333,13
1565,7
3336,1
886,2
2767,2
333,27
1565,9
886,6
3825,5
3336,3
333,30
908,4
1489,14
2767,9
1489,8
886,28
3825,2
337,27
3336,7
2107,10
2148,6
1530,9
2767,13
886,14
343,28
1530,10
2744,7
886,14
339,36
3826,7
3336,4
2148,5
1530,6
891,31
345,25
2744,8
3336,4
1530,4
2148,4
891,1
3826,5
1530,4
339,30
891,21
2744,6
2148,9
3336,4
345,22
1530,3
3826,8
891,9
2148,10
2744,7
891,7
1530,6
3834,5
3336,5
2148,7
343,23
